HDDSN,ENDDATE,STARTDATE,PROCID,MTYPE,MFGID,PFCODE,PFSUBCODE,HSATRIAL,HDDTRIAL,PARTID,PARTFLAG,ASMLINE,ASMTEAM,TESTERID,CELLID,TESTPGMVER,FAILEDHEAD,HDDCYCLE,RWKDISP,RWKDEPTH_MAX,RWKDEPTH_CUR,HSASN,DISKSETID,HDEPARTSETID,HDDPARTSETID,STORETS,DayDifference,TestTime
KZGNA78E    ,2013-11-08 07:04:58,2013-11-07 20:06:31,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000035,FET8.1DL,00000000,2,  ,2,2,A37268MA    ,2,1,1,2013-11-08 07:44:38,1,10.974
KZGNA77E    ,2013-11-08 04:48:28,2013-11-07 18:12:32,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000007,FET8.1DL,00000000,2,  ,2,2,A35VPXXN    ,2,1,1,2013-11-08 05:30:11,1,10.599
KZGNA76E    ,2013-11-08 07:04:48,2013-11-07 20:06:34,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000038,FET8.1DL,00000000,2,  ,2,2,A35H3EAZ    ,2,1,1,2013-11-08 07:44:38,1,10.970
KZGNA75E    ,2013-11-08 07:04:41,2013-11-07 20:06:09,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000013,FET8.1DL,00000000,2,  ,2,2,A35H1ZMP    ,2,1,1,2013-11-08 07:44:38,1,10.975
KZGNA74E    ,2013-11-08 04:48:06,2013-11-07 18:12:43,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000018,FET8.1DL,00000000,2,  ,2,2,A371Y7CL    ,2,1,1,2013-11-08 05:30:11,1,10.589
KZGNA73E    ,2013-11-08 07:03:34,2013-11-07 20:06:03,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000007,FET8.1DL,00000000,2,  ,2,2,A35VQLND    ,2,1,1,2013-11-08 07:44:38,1,10.958
KZGNA72E    ,2013-11-07 18:52:53,2013-11-07 08:13:34,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000034,FET8.1DL,00000000,2,  ,2,2,A36QFJVM    ,2,1,1,2013-11-07 19:39:09,0,10.655
KZGNA71E    ,2013-11-07 17:11:41,2013-11-07 06:22:02,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000029,FET8.1DL,00000000,2,  ,2,2,A35VQMC8    ,2,1,1,2013-11-07 17:39:08,0,10.828
KZGNA70E    ,2013-11-07 17:12:13,2013-11-07 06:22:26,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000053,FET8.1DL,00000000,2,  ,2,2,A37268PD    ,2,1,1,2013-11-07 17:39:08,0,10.830
KZGNA6YE    ,2013-11-08 04:48:28,2013-11-07 18:12:49,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000024,FET8.1DL,00000000,2,  ,2,2,A35H1ZAR    ,2,1,1,2013-11-08 05:30:11,1,10.594
